"","X.casegrowthlag_we","X.casegrowthlag1_we","X.logdiffcases_we","X.casegrowthlag.national_we","X.logdiffcases.national_we","X.difflogtests_we","X.percentage_age_we","X.Density_we","X.population_we","X.schoolClosing_we","X.restGatherings_we","X.cancEvents_we","X.testingPolicy_we","X.workClosing2a_we","X.grocery_and_pharmacy_we","X.transit_stations_we","X.transactiongrowth_we","X.workplaces_we","X.sre000d0_we","X.tre200d0_we","X.ure200d0_we","X.ferien_we","X.Canton_3","X.oneweek","Y","W"
"124",0.37469344944141,0.060624621816435,1.6094379124341,0.335260849434916,5.79605775076537,0.0760374706461722,6.58000193458344,3192.598338,287000,1,1,1,3,1,-1.10185714285714,-15.5508571428571,-0.0186236525344725,-29.0001428571429,577.214285714286,23.7928571428571,54.6357142857143,0,22,23,0.534082485930258,0
"125",0.060624621816435,0.534082485930258,0,-0.0487901641694322,-2.30258509299405,0.0804820809154787,6.58000193458344,3192.598338,287000,1,1,1,3,1,-4.20414285714286,-17.9388571428571,0.109432221964276,-31.7144285714286,585.071428571429,20.0642857142857,67.7,0,22,24,0.0984400728132524,0
"126",0.534082485930258,0.0984400728132524,2.484906649788,0.358309970190887,6.16120732169508,0.0769102930780239,6.58000193458344,3192.598338,287000,1,1,1,3,1,-0.449142857142857,-12.9594285714286,0.0234035472355174,-24.102,428,23.35,63.2928571428571,0,22,25,0.117783035656383,0
"127",0.0984400728132524,0.117783035656383,1.09861228866811,0.164264546064187,5.63835466933375,0.107317207651681,6.58000193458344,3192.598338,287000,1,1,1,3,1,-0.816142857142857,-12.2857142857143,-0.0575524180297418,-19.796,469.571428571429,21.3428571428571,66.0357142857143,0,22,26,-0.405465108108164,0
"128",0.117783035656383,-0.405465108108164,1.38629436111989,0.120235850143278,5.46806014113513,0.130764563661319,6.58000193458344,3192.598338,287000,1,1,1,3,1,-0.612285714285714,-11.9998571428571,0.0429184459739371,-17.4081428571429,258.214285714286,17.2785714285714,69.0642857142857,0,22,27,0.287682072451781,0
"129",-0.405465108108164,0.287682072451781,-2.30258509299405,0.160820547336366,5.89989735358249,0.125333460940547,6.58000193458344,3192.598338,287000,1,1,1,3,1,-2.97971428571429,-15.5714285714286,-0.0127925297907261,-18.143,387.428571428571,16.4285714285714,72.4642857142857,0,22,28,-0.521296923633286,0
"130",0.287682072451781,-0.521296923633286,2.07944154167984,0.151880531292719,5.99893656194668,0.107956415620409,6.58000193458344,3192.598338,287000,1,1,1,3,1,-1.898,-10.9184285714286,0.00322082883723773,-17.612,610.928571428571,18.1142857142857,68.45,0,22,29,0,0
"131",-0.521296923633286,0,-2.30258509299405,0.0159559403163296,3.8286413964891,0.0837570189502372,6.58000193458344,3192.598338,287000,1,1,1,2.57142857142857,1,-1.36757142857143,-8.53071428571429,-0.0200081608996072,-15.2855714285714,502.642857142857,20.0214285714286,69.2,0,22,30,0.55206858230004,0
"132",0,0.55206858230004,-2.30258509299405,-0.268369873930652,-2.30258509299405,0.0650633942407737,6.58000193458344,3192.598338,287000,1,1,1,2,1,-3.12257142857143,-12.5101428571429,0.0117544744047731,-16.1837142857143,134,13.5642857142857,76.4357142857143,0.285714285714286,22,31,1.21302263984585,0
"133",0.55206858230004,1.21302263984585,2.63905732961526,0.443438765536579,7.12286665859908,0.0521991660963668,6.58000193458344,3192.598338,287000,1,1.57142857142857,1,2,1,-2.73457142857143,-15.5712857142857,-0.0435203287797794,-16.5712857142857,205,11.3214285714286,80.5357142857143,1,22,32,1.05252118146784,0
