"X.median_R_mean.lag_we","X.median_R_mean.lag1_we","X.percentage_age_we","X.Density_we","X.population_we","X.schoolClosing_we","X.restGatherings_we","X.cancEvents_we","X.testingPolicy_we","X.workClosing2a_we","X.grocery_and_pharmacy_we","X.transit_stations_we","X.transactiongrowth_we","X.workplaces_we","X.sre000d0_we","X.tre200d0_we","X.ure200d0_we","X.ferien_we","X.Canton_3","X.oneweek","Y","W"
0.987142857142857,1.44714285714286,4.76451314001525,2669.154977,793100,1,1,1,3,1,-0.816142857142857,-12.2857142857143,0.0240728187042247,-19.796,493.2,20.33,67.2342857142857,0,4,26,1.26571428571429,0
1.24,1.26571428571429,4.76451314001525,2669.154977,793100,1,1,1,3,1,-0.612285714285714,-11.9998571428571,0.0441958728304961,-17.4081428571429,291.714285714286,16.7071428571429,69.2242857142857,0,4,27,1.31,0
1.44714285714286,1.31,4.76451314001525,2669.154977,793100,1,1,1,3,1,-2.97971428571429,-15.5714285714286,-0.0123725549650935,-18.143,458.9,15.8514285714286,71.7385714285714,0,4,28,1.18142857142857,0
1.26571428571429,1.18142857142857,4.76451314001525,2669.154977,793100,1,1,1,3,1,-1.898,-10.9184285714286,0.00984225079122858,-17.612,607.214285714286,17.5342857142857,71.9885714285714,0,4,29,0.917142857142857,0
1.31,0.917142857142857,4.76451314001525,2669.154977,793100,1,2.14285714285714,1.57142857142857,2.57142857142857,1,-1.36757142857143,-8.53071428571429,-0.0429069166087412,-15.2855714285714,494.114285714286,19.3528571428571,74.2157142857143,0,4,30,0.788571428571429,0.571428571428571
1.18142857142857,0.788571428571429,4.76451314001525,2669.154977,793100,1,3,2,2,1,-3.12257142857143,-12.5101428571429,-0.0739345814866308,-16.1837142857143,129.557142857143,12.1885714285714,84.3957142857143,0,4,31,1.11857142857143,1
0.917142857142857,1.11857142857143,4.76451314001525,2669.154977,793100,1,3,2,2,1,-2.73457142857143,-15.5712857142857,0.131015927664913,-16.5712857142857,121.142857142857,10.1671428571429,86.4671428571429,0,4,32,1.54285714285714,1
0.788571428571429,1.54285714285714,4.76451314001525,2669.154977,793100,1,3,2,2,1,-3.38771428571429,-16.6937142857143,-0.0144134587986979,-18.5511428571429,159.1,9.86428571428571,80.6828571428571,0.285714285714286,4,33,1.60285714285714,1
1.11857142857143,1.60285714285714,4.76451314001525,2669.154977,793100,1,3,2,2,1,-4.20385714285714,-19.7141428571429,-0.0657470742470618,-18.5102857142857,162.328571428571,6.73142857142857,80.2414285714286,1,4,34,1.53857142857143,1
1.54285714285714,1.53857142857143,4.76451314001525,2669.154977,793100,1,3,2,2,1,-3.69371428571429,-21.0817142857143,-0.00866430512772709,-17.8365714285714,202.9,10.3714285714286,80.5171428571429,1,4,35,1.23857142857143,1
